county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Barren,108.0,10.0,180.0,0.51,0.64,44176.0,32859.0,7818.0,2.445,3.287,13.814,0.226,0.304,1.2790000000000001,4.075,5.478,23.024,Kentucky,9.0,0.0
Barron,90.0,5.0,90.0,0.4,0.46,45164.0,34540.0,9908.0,1.993,2.6060000000000003,9.084,0.111,0.145,0.505,1.993,2.6060000000000003,9.084,Wisconsin,6.0,0.0
Barrow,56.0,6.0,56.0,0.18,0.36,80809.0,58070.0,10058.0,0.693,0.9640000000000001,5.568,0.07400000000000001,0.10300000000000001,0.597,0.693,0.9640000000000001,5.568,Georgia,103.0,3.0
Barry,25.0,6.0,25.0,0.58,0.62,61157.0,46198.0,11254.0,0.409,0.541,2.221,0.098,0.13,0.5329999999999999,0.409,0.541,2.221,Michigan,28.0,1.0
Barry,43.0,0.0,43.0,0.26,0.0,35886.0,27001.0,7388.0,1.198,1.5930000000000002,5.82,0.0,0.0,0.0,1.198,1.5930000000000002,5.82,Missouri,5.0,0.0
Bartholomew,211.0,17.0,225.0,0.43,0.51,82753.0,61351.0,13487.0,2.55,3.4389999999999996,15.645,0.205,0.27699999999999997,1.26,2.719,3.667,16.683,Indiana,146.0,7.0
Barton,76.0,4.0,81.0,0.35,0.0,26111.0,19226.0,5018.0,2.911,3.9530000000000003,15.145,0.153,0.20800000000000002,0.797,3.102,4.213,16.142,Kansas,8.0,0.0
Barton,25.0,4.0,25.0,0.25,0.01,11798.0,8773.0,2423.0,2.119,2.85,10.318,0.33899999999999997,0.456,1.651,2.119,2.85,10.318,,,
Bartow,119.0,21.0,119.0,0.79,0.72,106408.0,78323.0,14916.0,1.1179999999999999,1.5190000000000001,7.978,0.19699999999999998,0.268,1.4080000000000001,1.1179999999999999,1.5190000000000001,7.978,Georgia,259.0,27.0
Bastrop,8.0,0.0,8.0,0.19,0.0,86976.0,62646.0,13211.0,0.092,0.128,0.606,0.0,0.0,0.0,0.092,0.128,0.606,Texas,52.0,2.0
Bates,44.0,0.0,60.0,0.2,0.0,16320.0,12175.0,3164.0,2.696,3.614,13.905999999999999,0.0,0.0,0.0,3.676,4.928,18.963,Missouri,6.0,1.0
Bath,14.0,0.0,25.0,0.37,0.0,4292.0,3569.0,1187.0,3.262,3.923,11.794,0.0,0.0,0.0,5.825,7.005,21.061,,,
Baxter,170.0,17.0,268.0,0.52,0.77,41619.0,33558.0,12860.0,4.085,5.066,13.219000000000001,0.408,0.507,1.3219999999999998,6.439,7.986000000000001,20.84,Arkansas,5.0,0.0
Bay,706.0,77.0,737.0,0.6,0.56,185287.0,141881.0,31678.0,3.81,4.976,22.287,0.41600000000000004,0.5429999999999999,2.431,3.978,5.194,23.265,Florida,59.0,2.0
